Name,Areas served,Associated supermarket brands
Ahold Delhaize,"Connecticut, Delaware, Georgia, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New York, New Jersey, North Carolina, Pennsylvania, Rhode Island, South Carolina, Tennessee, Vermont, Virginia, West Virginia, Washington D.C.","Food Lion, Giant, Giant Food, Hannaford, Stop & Shop"
Raley's Supermarkets,"California, Nevada, Arizona, New Mexico, Oregon, Washington and Alaska","Bel Air Markets, Nob Hill Foods, Bashas', AJ's Fine Foods"
Save Mart,California and Nevada,"Lucky, Lucky California, FoodMaxx, Maxx Value Foods"
Smart & Final,"California, Arizona, Nevada and northern Mexico",None
WinCo Foods,"Arizona, California, Idaho, Montana, Nevada, Oklahoma, Oregon, Texas, Utah, and Washington",None
Lin’s Fresh Market,Utah and Nevada,None
Harmons,Utah,None
Coborn's Inc.,"Illinois, Michigan, Minnesota, North Dakota, South Dakota, Wisconsin","Coborn's, Cash Wise, MarketPlace Foods, Hornbacher's, Tadych's MarketPlace, Sullivan's Foods, Captain Jack's Liquor Land, Andy's Liquor"
Hy-Vee,"Iowa, Illinois, Kansas, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin",Dollar Fresh’s
Meijer,"Illinois, Indiana, Kentucky, Michigan, Ohio, Wisconsin, Pennsylvania","Fresh Thyme Market (Wisconsin, Illinois, Indiana, Michigan, Missouri, Ohio, Iowa, Kentucky, Pennsylvania, and Minnesota)"
Schnucks,"Illinois, Indiana, Missouri, Wisconsin",None
Fareway,"Iowa, Illinois, Minnesota, Nebraska, South Dakota, Kansas, Missouri",None
Marketplace Foods,"Minnesota, North Dakota",None
KJ's Fresh Market,"Minnesota, Wisconsin",None
Harps Food Stores,"Arkansas, Oklahoma, Missouri, Kansas, Louisiana","Food 4 Less, 10Box Cost Plus, Warehouse Market, The Markets, CashSave"
ShopRite,"Connecticut, Delaware, Maryland, New Jersey, New York, Pennsylvania",Price Rite
Price Chopper,"Upstate New York, Vermont, Connecticut, Massachusetts, New Hampshire, Pennsylvania",Market 32
Weis Markets,"Pennsylvania, Maryland, New York, New Jersey, West Virginia, Virginia, Delaware",None
Wegmans,"New York, Pennsylvania, New Jersey, Maryland, Massachusetts, Virginia, North Carolina, Delaware, Washington, D.C.",None
Tops,"Upstate New York, Vermont, northern Pennsylvania",None
Giant Eagle,"Pennsylvania, Ohio, West Virginia, Indiana, Maryland","Giant Eagle Express, Market District, Market District Express"
Market Basket,"New Hampshire, Massachusetts, Maine, Rhode Island",None
Foodtown,"New Jersey, New York, Pennsylvania, Connecticut",Greenway Markets
Alex Lee Inc.,"Georgia, North Carolina, South Carolina, Virginia","Lowes Foods, KJ's Market, IGA Southeast"
Brookshire's,"Arkansas, Louisiana, Oklahoma, Texas","Brookshire's, Super 1 Foods, Fresh by Brookshire's, Spring Market, Reasor's."
Food City,"Alabama, Georgia, Kentucky, Virginia, Tennessee",None
Ingles Markets,"Alabama, Georgia, South Carolina, North Carolina, Tennessee, Virginia",None
Piggly Wiggly,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Minnesota, Mississippi, Missouri, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, Tennessee, Virginia, West Virginia, Wisconsin",None
Publix,"Florida, Georgia, Alabama, South Carolina, Tennessee, North Carolina, Virginia, Kentucky",GreenWise Market
Winn-Dixie,"Florida, Georgia, Alabama, Louisiana, Mississippi",None
Haggen,Washington,None
Safeway,"Alaska, Arizona, California, Colorado, Delaware, Hawaii, Idaho, Maryland, Montana, Nebraska, Nevada, New Mexico, Oregon, South Dakota, Virginia, District of Columbia, Washington, Wyoming",None
Shaw's and Star Market,"Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",None
Vons and Pavilions,"California, Nevada",None
Amazon,All,None
Whole Foods Market,All,None
Baker's,Nebraska,None
City Market,"Colorado, Utah, Wyoming",None
Dillons,Kansas,None
Food 4 Less,"California, Illinois, Indiana",None
Fred Meyer,"Washington, Oregon, Idaho, Alaska",None
Fry's,Arizona,None
Gerbes,Missouri,None
Harris Teeter,"North Carolina, South Carolina, Virginia, Georgia, Florida, Delaware, Maryland, District of Columbia",None
JayC,Indiana,None
King Soopers,"Colorado, Wyoming",None
Mariano's,Illinois,None
Pay Less,Indiana,None
QFC,"Washington, Oregon",None
Ralphs,California,None
Roundy's,"Illinois, Wisconsin",None
Ruler Foods,"Illinois, Indiana, Kentucky, Missouri, Ohio, Tennessee",None
Smith's Food and Drug,"Utah, Nevada, New Mexico, Arizona, Montana, Idaho, Wyoming",None
Costco,All,None
Target,All,None
Walmart,All,None
Walmart Neighborhood Market,All,None
Sam's Club,All,None